video_id,youtube_url,category,duration_s,analyzed_s,n_timesteps,raw_pearson_r,partial_r_position_controlled,baseline_loudness_partial_r,baseline_motion_partial_r
450p7goxZqg,https://www.youtube.com/watch?v=450p7goxZqg,?,,60,60,0.01,0.337,-0.012,-0.001
YykjpeuMNEk,https://www.youtube.com/watch?v=YykjpeuMNEk,?,,60,60,-0.278,0.02,0.106,-0.19
fLexgOxsZu0,https://www.youtube.com/watch?v=fLexgOxsZu0,?,,60,60,0.151,0.373,-0.109,0.02
lp-EO5I60KA,https://www.youtube.com/watch?v=lp-EO5I60KA,?,,60,60,0.268,0.378,0.045,0.023
8cwWgxbqah0,https://www.youtube.com/watch?v=8cwWgxbqah0,comedy,,60,60,0.51,0.324,0.305,-0.125
EtllWIiOTuA,https://www.youtube.com/watch?v=EtllWIiOTuA,comedy,,60,60,0.59,0.503,0.202,-0.008
IRfluaMKoOY,https://www.youtube.com/watch?v=IRfluaMKoOY,comedy,,60,60,-0.002,-0.222,-0.049,-0.219
hNoS2BU6bbQ,https://www.youtube.com/watch?v=hNoS2BU6bbQ,comedy,,60,60,-0.467,0.334,-0.141,-0.054
Lmz_jFsKdpE,https://www.youtube.com/watch?v=Lmz_jFsKdpE,education,,60,60,0.118,-0.33,-0.19,-0.051
MxbBgi6qorA,https://www.youtube.com/watch?v=MxbBgi6qorA,education,,60,46,-0.136,-0.531,0.115,-0.502
Nz1cStYSoGs,https://www.youtube.com/watch?v=Nz1cStYSoGs,education,,60,60,-0.604,-0.134,0.205,0.063
p7HKvqRI_Bo,https://www.youtube.com/watch?v=p7HKvqRI_Bo,education,,60,60,0.259,0.199,0.14,0.117
P6W8kwmwcno,https://www.youtube.com/watch?v=P6W8kwmwcno,food,,60,60,0.024,0.368,-0.405,0.239
T8CK9aIqy20,https://www.youtube.com/watch?v=T8CK9aIqy20,food,,60,60,-0.368,-0.034,-0.007,0.023
ZtZmlK2xLcY,https://www.youtube.com/watch?v=ZtZmlK2xLcY,food,,,,,,,
yyi55ZrpJ0E,https://www.youtube.com/watch?v=yyi55ZrpJ0E,food,,60,60,0.263,-0.014,-0.109,-0.247
7Oj7IAJ7B_0,https://www.youtube.com/watch?v=7Oj7IAJ7B_0,gaming,,60,60,0.292,-0.645,0.165,-0.401
09R8_2nJtjg,https://www.youtube.com/watch?v=09R8_2nJtjg,music,,60,60,-0.565,-0.366,-0.13,-0.033
2Vv-BfVoq4g,https://www.youtube.com/watch?v=2Vv-BfVoq4g,music,,60,60,0.252,0.309,0.179,0.114
60ItHLz5WEA,https://www.youtube.com/watch?v=60ItHLz5WEA,music,,60,60,-0.252,-0.05,-0.041,-0.18
9bZkp7q19f0,https://www.youtube.com/watch?v=9bZkp7q19f0,music,,60,60,-0.328,0.104,0.354,-0.095
CUj2AWEJnwQ,https://www.youtube.com/watch?v=CUj2AWEJnwQ,music,,60,60,-0.278,-0.066,0.279,-0.084
CevxZvSJLk8,https://www.youtube.com/watch?v=CevxZvSJLk8,music,,60,60,-0.14,0.286,0.202,-0.345
JGwWNGJdvx8,https://www.youtube.com/watch?v=JGwWNGJdvx8,music,,60,60,0.223,0.362,-0.351,0.037
OPf0YbXqDm0,https://www.youtube.com/watch?v=OPf0YbXqDm0,music,,60,60,0.039,0.136,0.372,-0.33
OiC1rgCPmUQ,https://www.youtube.com/watch?v=OiC1rgCPmUQ,music,,60,60,0.461,-0.014,-0.031,-0.168
RgKAFK5djSk,https://www.youtube.com/watch?v=RgKAFK5djSk,music,,60,60,0.159,0.559,0.005,-0.073
Uq9gPaIzbe8,https://www.youtube.com/watch?v=Uq9gPaIzbe8,music,,60,60,-0.03,0.332,-0.393,-0.314
YQHsXMglC9A,https://www.youtube.com/watch?v=YQHsXMglC9A,music,,60,60,-0.35,-0.053,0.066,0.218
b1kbLwvqugk,https://www.youtube.com/watch?v=b1kbLwvqugk,music,,60,60,-0.216,0.022,-0.609,0.059
fJ9rUzIMcZQ,https://www.youtube.com/watch?v=fJ9rUzIMcZQ,music,,60,60,0.097,0.13,-0.136,0.018
hT_nvWreIhg,https://www.youtube.com/watch?v=hT_nvWreIhg,music,,60,60,-0.308,0.136,0.426,-0.058
kJQP7kiw5Fk,https://www.youtube.com/watch?v=kJQP7kiw5Fk,music,,60,60,0.461,0.233,0.311,-0.152
pSY3i5XHHXo,https://www.youtube.com/watch?v=pSY3i5XHHXo,music,,60,60,-0.32,-0.222,-0.19,-0.33
CPrkq6hxZw8,https://www.youtube.com/watch?v=CPrkq6hxZw8,reaction,,60,60,-0.234,-0.074,0.058,-0.094
spVXjLffjyE,https://www.youtube.com/watch?v=spVXjLffjyE,reaction,,60,60,-0.422,0.634,0.329,0.093
G2abHvXOqa8,https://www.youtube.com/watch?v=G2abHvXOqa8,science,,,,,,,
Zn4oVE7W_0M,https://www.youtube.com/watch?v=Zn4oVE7W_0M,science,,60,60,0.161,-0.68,-0.182,0.323
t06aTX9jM34,https://www.youtube.com/watch?v=t06aTX9jM34,science,,60,60,0.182,0.006,-0.089,0.032
yVwZSoFJWSQ,https://www.youtube.com/watch?v=yVwZSoFJWSQ,science,,60,60,0.632,0.583,0.077,-0.068
LNHBMFCzznE,https://www.youtube.com/watch?v=LNHBMFCzznE,talk,,60,60,0.726,0.524,0.306,-0.065
QijH4UAqGD8,https://www.youtube.com/watch?v=QijH4UAqGD8,talk,,60,60,0.35,0.194,0.282,0.031
eIho2S0ZahI,https://www.youtube.com/watch?v=eIho2S0ZahI,talk,,60,60,-0.287,0.193,0.258,-0.127
eVFzbxmKNUw,https://www.youtube.com/watch?v=eVFzbxmKNUw,talk,,60,60,0.195,-0.682,0.017,0.314
vCIu7Ja_TE0,https://www.youtube.com/watch?v=vCIu7Ja_TE0,talk,,60,60,0.4,-0.172,-0.157,0.054
6jVUSsByq9Y,https://www.youtube.com/watch?v=6jVUSsByq9Y,tech,,60,60,0.064,-0.546,0.042,-0.041
E76CUtSHMrU,https://www.youtube.com/watch?v=E76CUtSHMrU,tech,,60,60,0.255,0.208,0.048,-0.146
FkL3NqtxDhQ,https://www.youtube.com/watch?v=FkL3NqtxDhQ,tech,,60,60,0.393,-0.14,0.105,-0.148
uCQ6OQsgP_E,https://www.youtube.com/watch?v=uCQ6OQsgP_E,tech,,60,60,-0.303,-0.097,0.09,0.108
